GO 	 10:51:41.332: 	Will Scrape at: 10h 52m
GO 	 10:51:41.332: 	Running script
GO 	 10:51:41.332: 	Value: ERROR
GO 	 10:52:16.111: 	Will Scrape at: 10h 53m
GO 	 10:52:16.111: 	Running script
GO 	 10:53:00.116: 	Value: 114ms2016-09-01 10:53:00.1157836 -0400 EDT
GO 	 10:53:44.834: 	Will Scrape at: 10h 53m
GO 	 10:53:44.849: 	Running script
GO 	 10:53:44.952: 	Value: 91ms2016-09-01 10:53:44.9512226 -0400 EDT
GO 	 10:53:52.097: 	Will Scrape at: 10h 54m
GO 	 10:53:52.097: 	Running script
GO 	 10:54:00.097: 	Value: 95ms2016-09-01 10:54:00.0959482 -0400 EDT
GO 	 10:54:14.974: 	Will Scrape at: 10h 55m
GO 	 10:54:14.974: 	Running script
GO 	 10:55:00.099: 	Value: 98ms2016-09-01 10:55:00.0985193 -0400 EDT
